succodigo;turno;caja;venta;comprobante;vtaoperacion;clinombre;vtaestado;vtafecha;franja_turno;dia_venta;usulogin;condvtapos;delivery;articulo;descrip;descrip_alex;precio;cant;total;venta1;sucursal;desde;hasta;sucdescrip;desdeturno;hastaturno;desdecomanda;hastacomanda;filtrosobreventa;cliente
Pilar III;1;1;0;;VF;Consumidor Final;Anulado;3/12/2020 19:34;3;3;admin;XX;No;186;Baño de Chocolate;Mini postres;10;1;10;0;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;1;;VF;Consumidor Final;Normal;3/12/2020 22:20;3;3;Admin;EF;No;31;Pal.Limon x 1;Palitos;30;1;30;1;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;2;;VF;Consumidor Final;Normal;3/12/2020 22:21;3;3;Admin;EF;No;31;Pal.Limon x 1;Palitos;30;1;30;2;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;3;;VF;Consumidor Final;Normal;3/12/2020 22:24;3;3;Admin;EF;No;5;Cuc. Grido 2b;Mini postres;120;1;120;3;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;4;;VF;Consumidor Final;Anulado;3/12/2020 22:24;3;3;Admin;XX;No;31;Pal.Limon x 1;Palitos;30;1;30;4;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;5;;VF;Consumidor Final;Normal;4/12/2020 15:30;2;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;1;30;5;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;6;;VF;Consumidor Final;Normal;4/12/2020 18:07;3;4;admin;EF;No;3626;Grido Tops Aguila;Mini postres;15;1;15;6;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;7;;VF;Consumidor Final;Normal;4/12/2020 19:19;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;2;140;7;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;7;;VF;Consumidor Final;Normal;4/12/2020 19:19;3;4;Admin;EF;No;21;B. Suizo x 1;Bon Bon;70;2;140;7;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;8;;VF;Consumidor Final;Normal;4/12/2020 19:21;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;2;60;8;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;9;;VF;Consumidor Final;Normal;4/12/2020 19:22;3;4;Admin;EF;No;200;Tent. Chocolate;Tentación;280;2;560;9;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;10;;VF;Consumidor Final;Normal;4/12/2020 19:23;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;2;260;10;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;11;;VF;Consumidor Final;Normal;4/12/2020 19:25;3;4;Admin;EF;No;346;Top Salsa Choc Mar;Top Cookie;15;2;30;11;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;12;;VF;Consumidor Final;Normal;4/12/2020 19:25;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;2;900;12;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;13;;VF;Consumidor Final;Normal;4/12/2020 19:27;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;13;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;14;;VF;Consumidor Final;Normal;4/12/2020 19:29;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;14;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
